,,,Round 1,,,Totals,,,,,Shooting,,,Per Game,,,,Advanced,,,
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,ORL,Paolo Banchero,Duke,1,31,1060,652,208,123,0.436,0.311,0.756,34.2,21,6.7,4,1.4,0.062,-0.7,0.3
2,2,OKC,Chet Holmgren,Gonzaga,,,,,,,,,,,,,,,,,
3,3,HOU,Jabari Smith Jr.,Auburn,1,37,1111,449,263,33,0.387,0.33,0.815,30,12.1,7.1,0.9,1,0.042,-3.5,-0.4
4,4,SAC,Keegan Murray,Iowa,1,35,1007,403,135,29,0.424,0.388,0.767,28.8,11.5,3.9,0.8,1,0.048,-1.9,0
5,5,DET,Jaden Ivey,Purdue,1,37,1101,553,150,149,0.407,0.314,0.718,29.8,14.9,4.1,4,-0.2,-0.007,-3.4,-0.4
6,6,IND,Bennedict Mathurin,Arizona,1,39,1099,678,151,56,0.42,0.34,0.815,28.2,17.4,3.9,1.4,1.2,0.052,-3.2,-0.3
7,7,POR,Shaedon Sharpe,Kentucky,1,36,708,283,91,16,0.477,0.348,0.625,19.7,7.9,2.5,0.4,0.7,0.048,-4,-0.3
8,8,NOP,Dyson Daniels,,1,29,546,132,97,62,0.459,0.395,0.6,18.8,4.6,3.3,2.1,1.1,0.094,-0.5,0.2
9,9,SAS,Jeremy Sochan,Baylor,1,32,806,276,147,77,0.462,0.206,0.596,25.2,8.6,4.6,2.4,0.1,0.006,-4.4,-0.5
10,10,WAS,Johnny Davis,Wisconsin,1,10,50,11,7,2,0.308,0,1,5,1.1,0.7,0.2,0,-0.032,-12.3,-0.1
11,11,NYK,Ousmane Dieng,,1,14,220,61,40,20,0.424,0.294,0.25,15.7,4.4,2.9,1.4,0.2,0.053,-2,0
12,12,OKC,Jalen Williams,Santa Clara,1,34,938,390,123,94,0.51,0.284,0.739,27.6,11.5,3.6,2.8,1.4,0.073,-2.2,0
13,13,CHO,Jalen Duren,Memphis,1,38,924,288,323,38,0.634,0,0.568,24.3,7.6,8.5,1,2.2,0.114,-1.5,0.1
14,14,CLE,Ochai Agbaji,Kansas,1,17,134,43,17,3,0.386,0.217,0.444,7.9,2.5,1,0.2,0,0.001,-7.5,-0.2
15,15,CHO,Mark Williams,Duke,1,9,119,58,53,4,0.595,,0.778,13.2,6.4,5.9,0.4,0.3,0.134,-0.9,0
16,16,ATL,AJ Griffin,Duke,1,34,731,344,76,36,0.461,0.364,0.875,21.5,10.1,2.2,1.1,1.1,0.073,-0.2,0.3
17,17,HOU,Tari Eason,LSU,1,38,714,310,204,32,0.425,0.372,0.797,18.8,8.2,5.4,0.8,1.3,0.087,-0.8,0.2
18,18,CHI,Dalen Terry,Arizona,1,14,52,12,4,7,0.308,0.25,0.75,3.7,0.9,0.3,0.5,-0.1,-0.063,-6.8,-0.1
19,19,MIN,Jake LaRavia,Wake Forest,1,23,331,85,54,18,0.411,0.373,0.857,14.4,3.7,2.3,0.8,0.5,0.076,-2.2,0
20,20,SAS,Malaki Branham,Ohio State,1,24,452,158,40,38,0.412,0.293,0.824,18.8,6.6,1.7,1.6,-0.2,-0.025,-6,-0.5
21,21,DEN,Christian Braun,Kansas,1,34,493,119,68,18,0.471,0.343,0.524,14.5,3.5,2,0.5,0.4,0.037,-4.2,-0.3
22,22,MEM,Walker Kessler,Auburn,1,37,695,253,240,22,0.728,,0.557,18.8,6.8,6.5,0.6,2.7,0.189,1.8,0.7
23,23,PHI,David Roddy,Colorado State,1,35,656,225,96,26,0.401,0.263,0.61,18.7,6.4,2.7,0.7,0.5,0.033,-4,-0.3
24,24,MIL,MarJon Beauchamp,,1,27,413,170,70,15,0.416,0.349,0.696,15.3,6.3,2.6,0.6,0.4,0.042,-3.9,-0.2
25,25,SAS,Blake Wesley,Notre Dame,1,2,23,16,2,4,0.667,0.667,0.5,11.5,8,1,2,0.1,0.148,1.5,0
26,26,DAL,Wendell Moore Jr.,Duke,1,16,96,32,13,8,0.464,0.167,0.8,6,2,0.8,0.5,0,0.021,-2.8,0
27,27,MIA,Nikola Jović,,1,15,204,82,31,10,0.406,0.229,0.947,13.6,5.5,2.1,0.7,0.2,0.057,-3.5,-0.1
28,28,GSW,Patrick Baldwin Jr.,UW-Milwaukee,1,12,101,61,19,3,0.447,0.421,0.75,8.4,5.1,1.6,0.3,0.2,0.087,2.3,0.1
29,29,MEM,TyTy Washington Jr.,Kentucky,1,12,128,38,16,15,0.348,0.143,0.5,10.7,3.2,1.3,1.3,0,-0.012,-6.7,-0.2
30,30,OKC,Peyton Watson,UCLA,1,6,15,6,3,0,0.333,0,,2.5,1,0.5,0,0,-0.128,-14.4,0
31,31,IND,Andrew Nembhard,Gonzaga,1,34,908,276,106,127,0.466,0.377,0.882,26.7,8.1,3.1,3.7,1,0.055,-2.1,0
32,32,ORL,Caleb Houstan,Michigan,1,26,472,116,65,17,0.39,0.37,0.846,18.2,4.5,2.5,0.7,0.5,0.052,-3.5,-0.2
33,33,TOR,Christian Koloko,Arizona,1,35,563,131,117,16,0.475,0.125,0.667,16.1,3.7,3.3,0.5,1.1,0.092,-4.4,-0.3
34,34,OKC,Jaylin Williams,Arkansas,1,11,131,33,39,12,0.343,0.25,0.6,11.9,3,3.5,1.1,0.1,0.034,-5.2,-0.1
35,35,LAL,Max Christie,Michigan State,1,20,245,57,44,10,0.345,0.389,0.833,12.3,2.9,2.2,0.5,0.1,0.024,-4.4,-0.1
36,36,POR,Gabriele Procida,,,,,,,,,,,,,,,,,,
37,37,SAC,Jaden Hardy,,1,11,78,41,11,3,0.341,0.133,1,7.1,3.7,1,0.3,-0.2,-0.112,-13.4,-0.2
38,38,SAS,Kennedy Chandler,Tennessee,1,18,176,53,26,37,0.411,0.167,0.455,9.8,2.9,1.4,2.1,0.1,0.038,-1.3,0
39,39,CLE,Khalifa Diop,,,,,,,,,,,,,,,,,,
40,40,MIN,Bryce McGowens,Nebraska,1,14,191,56,18,14,0.404,0.375,0.857,13.6,4,1.3,1,0.1,0.034,-4.2,-0.1
41,41,NOP,E.J. Liddell,Ohio State,,,,,,,,,,,,,,,,,
42,42,NYK,Trevor Keels,Duke,1,1,1,0,1,0,0,0,,1,0,1,0,0,-0.797,-44.5,0
43,43,LAC,Moussa Diabaté,Michigan,1,8,90,33,32,2,0.542,,0.778,11.3,4.1,4,0.3,0.3,0.168,-1.8,0
44,44,ATL,Ryan Rollins,Toledo,1,11,60,21,10,6,0.316,0.333,1,5.5,1.9,0.9,0.5,-0.3,-0.251,-16.8,-0.2
45,45,CHO,Josh Minott,Memphis,1,6,15,10,3,2,0.6,0,1,2.5,1.7,0.5,0.3,0.1,0.433,14.7,0.1
46,46,DET,Ismael Kamagate,,,,,,,,,,,,,,,,,,
47,47,MEM,Vince Williams Jr.,VCU,1,8,44,7,5,3,0.273,0.125,,5.5,0.9,0.6,0.4,0.1,0.059,-1.3,0
48,48,MIN,Kendall Brown,Baylor,1,6,40,9,6,3,0.571,0,0.5,6.7,1.5,1,0.5,0.1,0.082,-2.8,0
49,49,CLE,Isaiah Mobley,USC,1,8,26,9,11,0,0.5,0.5,,3.3,1.1,1.4,0,0.1,0.158,1.2,0
50,50,MIN,Matteo Spagnolo,,,,,,,,,,,,,,,,,,
51,51,GSW,Tyrese Martin,UConn,1,11,42,15,6,0,0.375,0.2,1,3.8,1.4,0.5,0,0,-0.017,-7.3,-0.1
52,52,NOP,Karlo Matković,,,,,,,,,,,,,,,,,,
53,53,BOS,JD Davison,Alabama,1,3,8,2,1,1,0.25,0,,2.7,0.7,0.3,0.3,0,-0.275,-13.5,0
54,54,WAS,Yannick Nzosa,,,,,,,,,,,,,,,,,,
55,55,GSW,Gui Santos,,,,,,,,,,,,,,,,,,
56,56,CLE,Luke Travers,,,,,,,,,,,,,,,,,,
57,57,POR,Jabari Walker,Colorado,1,21,182,43,50,11,0.381,0.25,0.667,8.7,2,2.4,0.5,0.2,0.054,-4.5,-0.1
58,58,IND,Hugo Besson,,,,,,,,,,,,,,,,,,
,,,,,Milwaukee Bucks forfeited their Second Round pick.,,,,,,,,,,,,,,,,
,,,,,Miami Heat forfeited their Second Round pick.,,,,,,,,,,,,,,,,
